Email,Password,Role,Type,Name
admin@ikag.test,Demo123!,admin,user,Admin User
user@ikag.test,Demo123!,user,user,Jane Customer
jane@ikag.test,Demo123!,user,user,Jane Doe
john.mwangi.nairobicbd@ikag.test,Demo123!,provider,individual,John Mwangi
peter.ochieng.nairobicbd@ikag.test,Demo123!,provider,individual,Peter Ochieng
david.kamau.nairobicbd@ikag.test,Demo123!,provider,individual,David Kamau
sarah.wanjiku.westlands@ikag.test,Demo123!,provider,individual,Sarah Wanjiku
grace.akinyi.westlands@ikag.test,Demo123!,provider,individual,Grace Akinyi
joseph.kiprop.westlands@ikag.test,Demo123!,provider,individual,Joseph Kiprop
mary.njeri.parklands@ikag.test,Demo123!,provider,individual,Mary Njeri
agnes.wambui.parklands@ikag.test,Demo123!,provider,individual,Agnes Wambui
mike.otieno.parklands@ikag.test,Demo123!,provider,individual,Mike Otieno
james.kariuki.highridge@ikag.test,Demo123!,provider,individual,James Kariuki
brian.mutua.highridge@ikag.test,Demo123!,provider,individual,Brian Mutua
kevin.omondi.highridge@ikag.test,Demo123!,provider,individual,Kevin Omondi
daniel.wafula.karen@ikag.test,Demo123!,provider,individual,Daniel Wafula
samuel.kiptoo.karen@ikag.test,Demo123!,provider,individual,Samuel Kiptoo
mercy.chebet.karen@ikag.test,Demo123!,provider,individual,Mercy Chebet
charles.maina.langata@ikag.test,Demo123!,provider,individual,Charles Maina
george.njoroge.langata@ikag.test,Demo123!,provider,individual,George Njoroge
francis.kibet.langata@ikag.test,Demo123!,provider,individual,Francis Kibet
patrick.korir.lavington@ikag.test,Demo123!,provider,individual,Patrick Korir
stephen.rotich.lavington@ikag.test,Demo123!,provider,individual,Stephen Rotich
alex.ndirangu.lavington@ikag.test,Demo123!,provider,individual,Alex Ndirangu
lucy.adhiambo.kileleshwa@ikag.test,Demo123!,provider,individual,Lucy Adhiambo
faith.moraa.kileleshwa@ikag.test,Demo123!,provider,individual,Faith Moraa
diana.kemunto.kileleshwa@ikag.test,Demo123!,provider,individual,Diana Kemunto
john.mwangi.kilimani@ikag.test,Demo123!,provider,individual,John Mwangi
peter.ochieng.kilimani@ikag.test,Demo123!,provider,individual,Peter Ochieng
david.kamau.kilimani@ikag.test,Demo123!,provider,individual,David Kamau
sarah.wanjiku.hurlingham@ikag.test,Demo123!,provider,individual,Sarah Wanjiku
grace.akinyi.hurlingham@ikag.test,Demo123!,provider,individual,Grace Akinyi
joseph.kiprop.hurlingham@ikag.test,Demo123!,provider,individual,Joseph Kiprop
mary.njeri.southb@ikag.test,Demo123!,provider,individual,Mary Njeri
agnes.wambui.southb@ikag.test,Demo123!,provider,individual,Agnes Wambui
mike.otieno.southb@ikag.test,Demo123!,provider,individual,Mike Otieno
james.kariuki.southc@ikag.test,Demo123!,provider,individual,James Kariuki
brian.mutua.southc@ikag.test,Demo123!,provider,individual,Brian Mutua
kevin.omondi.southc@ikag.test,Demo123!,provider,individual,Kevin Omondi
daniel.wafula.nairobiwest@ikag.test,Demo123!,provider,individual,Daniel Wafula
samuel.kiptoo.nairobiwest@ikag.test,Demo123!,provider,individual,Samuel Kiptoo
mercy.chebet.nairobiwest@ikag.test,Demo123!,provider,individual,Mercy Chebet
charles.maina.athiriver@ikag.test,Demo123!,provider,individual,Charles Maina
george.njoroge.athiriver@ikag.test,Demo123!,provider,individual,George Njoroge
francis.kibet.athiriver@ikag.test,Demo123!,provider,individual,Francis Kibet
patrick.korir.eastleigh@ikag.test,Demo123!,provider,individual,Patrick Korir
stephen.rotich.eastleigh@ikag.test,Demo123!,provider,individual,Stephen Rotich
alex.ndirangu.eastleigh@ikag.test,Demo123!,provider,individual,Alex Ndirangu
lucy.adhiambo.kasarani@ikag.test,Demo123!,provider,individual,Lucy Adhiambo
faith.moraa.kasarani@ikag.test,Demo123!,provider,individual,Faith Moraa
diana.kemunto.kasarani@ikag.test,Demo123!,provider,individual,Diana Kemunto
john.mwangi.ruiru@ikag.test,Demo123!,provider,individual,John Mwangi
peter.ochieng.ruiru@ikag.test,Demo123!,provider,individual,Peter Ochieng
david.kamau.ruiru@ikag.test,Demo123!,provider,individual,David Kamau
sarah.wanjiku.roysambu@ikag.test,Demo123!,provider,individual,Sarah Wanjiku
grace.akinyi.roysambu@ikag.test,Demo123!,provider,individual,Grace Akinyi
joseph.kiprop.roysambu@ikag.test,Demo123!,provider,individual,Joseph Kiprop
mary.njeri.pangani@ikag.test,Demo123!,provider,individual,Mary Njeri
agnes.wambui.pangani@ikag.test,Demo123!,provider,individual,Agnes Wambui
mike.otieno.pangani@ikag.test,Demo123!,provider,individual,Mike Otieno
james.kariuki.buruburu@ikag.test,Demo123!,provider,individual,James Kariuki
brian.mutua.buruburu@ikag.test,Demo123!,provider,individual,Brian Mutua
kevin.omondi.buruburu@ikag.test,Demo123!,provider,individual,Kevin Omondi
daniel.wafula.gigiri@ikag.test,Demo123!,provider,individual,Daniel Wafula
samuel.kiptoo.gigiri@ikag.test,Demo123!,provider,individual,Samuel Kiptoo
mercy.chebet.gigiri@ikag.test,Demo123!,provider,individual,Mercy Chebet
charles.maina.runda@ikag.test,Demo123!,provider,individual,Charles Maina
george.njoroge.runda@ikag.test,Demo123!,provider,individual,George Njoroge
francis.kibet.runda@ikag.test,Demo123!,provider,individual,Francis Kibet
patrick.korir.muthaiga@ikag.test,Demo123!,provider,individual,Patrick Korir
stephen.rotich.muthaiga@ikag.test,Demo123!,provider,individual,Stephen Rotich
alex.ndirangu.muthaiga@ikag.test,Demo123!,provider,individual,Alex Ndirangu
lucy.adhiambo.thikaroad@ikag.test,Demo123!,provider,individual,Lucy Adhiambo
faith.moraa.thikaroad@ikag.test,Demo123!,provider,individual,Faith Moraa
diana.kemunto.thikaroad@ikag.test,Demo123!,provider,individual,Diana Kemunto
john.mwangi.thika@ikag.test,Demo123!,provider,individual,John Mwangi
peter.ochieng.thika@ikag.test,Demo123!,provider,individual,Peter Ochieng
david.kamau.thika@ikag.test,Demo123!,provider,individual,David Kamau
sarah.wanjiku.springvalley@ikag.test,Demo123!,provider,individual,Sarah Wanjiku
grace.akinyi.springvalley@ikag.test,Demo123!,provider,individual,Grace Akinyi
joseph.kiprop.springvalley@ikag.test,Demo123!,provider,individual,Joseph Kiprop
mary.njeri.loresho@ikag.test,Demo123!,provider,individual,Mary Njeri
agnes.wambui.loresho@ikag.test,Demo123!,provider,individual,Agnes Wambui
mike.otieno.loresho@ikag.test,Demo123!,provider,individual,Mike Otieno
james.kariuki.kitisuru@ikag.test,Demo123!,provider,individual,James Kariuki
brian.mutua.kitisuru@ikag.test,Demo123!,provider,individual,Brian Mutua
